author                 , published_at        , updated_at          , like_count, text
@torxphi               , 2026-07-05T07:12:44Z, 2026-07-05T07:12:44Z, 1         , "surrounded by people, but alone like a world wanderer"
@the_Mavryn            , 2026-06-24T17:32:49Z, 2026-06-24T17:32:49Z, 0         , "I&#39;m here after making $41.36 on my $200 usd account (BTCUSDT: BIAS Bearish, weekly low), I am doing amazing in trading, I am going to make my parents proud very soon.  ♥2026 June 24 11:17pm"
@NahuelSasso-s9w       , 2026-06-24T04:12:54Z, 2026-06-24T04:12:54Z, 4         , "I just don&#39;t know what to say, I want to drink until I fall asleep."
@그냥이84                 , 2026-06-09T06:20:24Z, 2026-06-09T06:20:24Z, 2         , 데미안 라이스인줄알았어요 ㅎㅎ
@andrekong7462         , 2026-06-08T02:04:15Z, 2026-06-08T02:04:15Z, 1         , s
@pfassarella8959       , 2026-06-02T03:11:06Z, 2026-06-02T03:11:06Z, 1         , "In 50 years we all will be dead! That’s a good thing.<br><br>A new organization, this one will never ever be put togheter again.<br><br>Good bye to all!"
@NovaldiBagusSetyanto  , 2026-05-28T15:15:12Z, 2026-05-28T15:15:12Z, 1         , semoga setelah ini tak ada lagi satu tarikan napas yang panjang itu..
@nemo.px1              , 2026-05-26T17:09:09Z, 2026-05-26T17:09:09Z, 2         , انا حزين ضايع واحيد في مكان مش مكاني مع ناس مش فاهمني خايف يكون انكتب عليا ده لان الطفولة كانت صعبة جدا ومعرفش هتعوض عن ده ولا لا 😣🤍☀️
@-Voldemortik-         , 2026-05-20T02:23:31Z, 2026-05-20T02:23:31Z, 1         , Viuuuuuuuu
@prahladbasnet8535     , 2026-05-19T12:34:10Z, 2026-05-19T12:34:10Z, 0         , "La vida se siente cada vez más pesada después de los 19. Tengo 24 años y no he sonreído de verdad, desde el corazón, desde que tenía 19."
@ericb1017             , 2026-05-17T08:38:13Z, 2026-05-17T08:38:13Z, 1         , I listen to this music again and again ...<br>I&#39;d like to have it on a CD or a file. How can I do this ?
@ENGYOUSEF-yf7sm       , 2026-05-15T18:23:10Z, 2026-05-15T18:23:10Z, 4         , from iraq iam listening to this mix of songs before my final university exams : )
@Arrietty27179         , 2026-05-07T21:57:53Z, 2026-05-07T21:57:53Z, 2         , If my love sees this comment i just wanna say that i truly love you Dani.
